distance_px,intensity_green,trend,envelope
-0.000,217.575809,212.596100,4.975474
1.000,217.000000,212.595044,4.972563
2.000,217.000000,212.592932,4.966747
3.000,217.000000,212.589765,4.958040
4.000,217.000000,212.585545,4.946462
5.000,217.000000,212.580275,4.932039
6.000,217.000000,212.573957,4.914806
7.000,217.000000,212.566595,4.894800
8.000,217.000000,212.558193,4.872069
9.000,217.000000,212.548755,4.846662
10.000,217.000000,212.538287,4.818638
11.000,217.008797,212.526794,4.788060
12.000,217.347798,212.514283,4.754994
13.000,217.531080,212.500759,4.719516
14.000,218.000000,212.486232,4.681702
15.000,218.000000,212.470708,4.641637
16.000,218.000000,212.454196,4.599406
17.000,218.000000,212.436704,4.555101
18.000,217.055831,212.418241,4.508817
19.000,216.594349,212.398818,4.460651
20.000,216.736984,212.378444,4.410705
21.000,216.910632,212.357130,4.359081
22.000,215.307653,212.334889,4.305886
23.000,215.033993,212.311731,4.251226
24.000,215.000000,212.287668,4.195211
25.000,214.162177,212.262714,4.137953
26.000,214.000000,212.236882,4.079561
27.000,214.000000,212.210185,4.020150
28.000,214.000000,212.182637,3.959831
29.000,214.000000,212.154253,3.898716
30.000,213.598853,212.125047,3.836916
31.000,213.647114,212.095035,3.774543
32.000,213.820762,212.064232,3.711705
33.000,213.994410,212.032654,3.648509
34.000,212.833463,212.000317,3.585063
35.000,212.683413,211.967237,3.521469
36.000,212.685057,211.933431,3.457830
37.000,212.237350,211.898916,3.394245
38.000,212.087948,211.863708,3.330810
39.000,212.000000,211.827826,3.267618
40.000,212.000000,211.791285,3.204758
41.000,212.000000,211.754105,3.142319
42.000,212.000000,211.716303,3.080382
43.000,212.000000,211.677897,3.019027
44.000,212.000000,211.638905,2.958329
45.000,212.000000,211.599346,2.898360
46.000,212.000000,211.559238,2.839187
47.000,212.000000,211.518600,2.780873
48.000,212.000000,211.477450,2.723478
49.000,212.000000,211.435808,2.667057
50.000,211.541983,211.393691,2.611660
51.000,211.000000,211.351120,2.557335
52.000,211.000000,211.308112,2.504123
53.000,211.000000,211.264688,2.452063
54.000,210.602752,211.220865,2.401189
55.000,210.000000,211.176665,2.351530
56.000,210.000000,211.132105,2.303113
57.000,210.000000,211.087205,2.255958
58.000,210.000000,211.041984,2.210085
59.000,210.000000,210.996461,2.165508
60.000,210.000000,210.950656,2.122237
61.000,210.000000,210.904587,2.080281
62.000,210.000000,210.858273,2.039643
63.000,209.792590,210.811735,2.000324
64.000,209.377504,210.764990,1.962323
65.000,209.424313,210.718057,1.925634
66.000,209.000000,210.670956,1.890251
67.000,209.000000,210.623705,1.856164
68.000,209.000000,210.576323,1.823360
69.000,209.000000,210.528826,1.791825
70.000,209.000000,210.481235,1.761543
71.000,209.000000,210.433565,1.732497
72.000,209.000000,210.385835,1.704665
73.000,209.000000,210.338063,1.678028
74.000,209.000000,210.290265,1.652562
75.000,209.000000,210.242459,1.628246
76.000,209.000000,210.194662,1.605055
77.000,209.000000,210.146892,1.582963
78.000,209.000000,210.099165,1.561945
79.000,209.000000,210.051497,1.541976
80.000,209.000000,210.003906,1.523029
81.000,209.000000,209.956408,1.505077
82.000,209.000000,209.909018,1.488095
83.000,209.000000,209.861752,1.472057
84.000,209.000000,209.814626,1.456936
85.000,209.000000,209.767655,1.442707
86.000,209.000000,209.720854,1.429344
87.000,208.104096,209.674238,1.416824
88.000,208.000000,209.627822,1.405123
89.000,208.000000,209.581619,1.394218
90.000,208.000000,209.535643,1.384086
91.000,208.000000,209.489909,1.374706
92.000,208.000000,209.444430,1.366057
93.000,208.000000,209.399219,1.358120
94.000,208.000000,209.354289,1.350877
95.000,208.000000,209.309653,1.344309
96.000,208.000000,209.265325,1.338401
97.000,208.000000,209.221316,1.333138
98.000,208.000000,209.177639,1.328504
99.000,208.000000,209.134305,1.324488
100.000,208.000000,209.091327,1.321078
101.000,208.000000,209.048717,1.318261
102.000,207.331980,209.006484,1.316029
103.000,207.555046,208.964641,1.314372
104.000,207.676569,208.923197,1.313283
105.000,207.502921,208.882165,1.312755
106.000,207.736573,208.841553,1.312782
107.000,208.000000,208.801373,1.313358
108.000,207.981976,208.761634,1.314481
109.000,207.808328,208.722346,1.316145
110.000,207.634680,208.683519,1.318350
111.000,208.278670,208.645162,1.321091
112.000,209.000000,208.607285,1.324367
113.000,209.000000,208.569896,1.328178
114.000,208.969188,208.533005,1.332521
115.000,209.000000,208.496620,1.337398
116.000,209.000000,208.460749,1.342806
117.000,209.000000,208.425401,1.348748
