lambda_nm = 530
lambda_error_nm = 0 #считаю что лазер монохроматический и его длина волны дана точно

L_mm = 1060
L_error_mm = 10

a_mm = 60
a_error_mm = 10

b_mm = 1300
b_error_mm = 20

laser_to_grid_mm = 25 # расстояние от лазера до сетки
laser_to_grid_error_mm = 5 # погрешность

wire_visible_on_cassette = K5 #кассета на которой видно проволоку


cassette,X_mm,X_error_mm,n #номер кассеты, расстояние между двумя крайними точками через центральную точку (диаметр), погрешность, число ребер которые образуют этот диаметр
K1,194,5,6
K2,127,5,6
K3,127,5,12
K4,85,5,16
K5,80,5,20


[task_7_lens_image]
cassette,length_mm,length_error_mm,marked_points,D_mm,D_error_mm
K3,13,2,12
K4,15,2,8
K5,35,2,22


[task_9_self_reproduction]
cassette,order,raw_dist_cm,dist_error_cm
K3,1,4.6,0.2
K3,2,4.3,0.2
K3,3,4.0,0.2
K3,4,3.6,0.2
K3,5,3.3,0.2
K3,6,3.0,0.2
K4,1,4.3,0.2
K4,2,3.7,0.2
K4,3,2.7,0.2
K4,4,0.0,0.2
K5,1,3.25,0.2
K5,2,0.5,0.2
K5,3,-1.75,0.2

geometric_image_scale_cm = 5.0

