для 22.5 градусов
(увеличивал разворот)
0, 225, 5' # белый
1, 241, 30' # фиолетовый (самая яркая)
3, 241, 35 # фиолетовый (вторая тусклая)
4, 242, 20 #синий
5, 245, 20 # голубой (самая яркая)
6,  247, 40 #зеленый (самая яркая)
7, 249, 30 #желый (первая)
8,249, 40 #желый (первая)
9, 251, 20 # красный (первая) (почти не видно)

1,268,15 # фиолетовый (самая яркая)
2,

для 45 градусов
уменьшал разворот
0, 270, 0 #белая
1,252, 30 филеотовая
2, 251, 10 синяя
3,249, 0 голубой
4, 247, 0 зеленый
5, 245, 40 желтая (первая)
6, 245, 20 желтая (вторая)
7, 244, 45 красная (первая)
8, 244, 30 красная (вторая)
9, 244, 9 красная (третья)


1, 236, 45 (самая яркая фиолетовая)
2, 234, 35 (синяя самая яркая)
3, 230, 40 (голубая самаяя ярка)
4, 226, 55 (зеленая)
5, 224, 50 (желтая первая)
6, 224, 40 (желтая вторая)
7, 222, 45 (непонятно что должен быть красный но как будто фиолетовый)


для 60 (уменьшал разворот (на увеличиние не было видно)
0, 300, 0
1, 278, 20 фиолетовая самая яркая
2, 276, 50 синяя самая яркая
3, 274, 25 голубая самая яркая
4, 272, 15 зеленая
5, 271, 0 желая перая
6, 270, 50 жетная вторая
7, 270, 30 красная тусклая
8, 270, 40 красня первая
9,269, 45 красня
10, 269, 30 красня
11, 269, 5 красня

1, 249, 35 желтая первая
2, 249, 25 жетлая вторая

1, 229, 40 желтая первая
2, 229, 30, желтая вторая




1, 299, 35 #фиолетовый (самая яркая)
2, 
