type,param,h1,h2,h3,h4
# type=angle: param=alpha (deg), path diff ~0 (V2=1)
angle,0,3.5,10,7,20
angle,10,4,10,6,20
angle,20,6,9.5,6,24
angle,30,7,9.5,7,25
angle,40,6.5,9.5,7,24
angle,50,5,9.5,8,21
angle,60,3.5,9.5,8,18
angle,70,3.5,9.5,9.5,16
angle,80,3,9.5,10,14
angle,90,2.5,9.5,9.5,14
angle,100,2,9.5,8.5,14
angle,110,1.5,9.5,8,13.5
angle,120,1.5,9.5,8,13.5
angle,130,1,9.5,8,12.5
angle,140,1,9.5,8.5,12
angle,150,1.5,9.5,8,13.5
angle,160,2.5,9.5,7,17
angle,170,3.5,9.5,6.5,18.5
angle,180,4.5,9.5,6,21.5
# type=position: param=x (cm), beta=0 (V3=1), path diff l=2x
position,10,4,7.5,7,16
position,12,4,5,4,13
position,14,4,3.5,3,11
position,16,4,4.5,3,13
position,18,4,3,3,10
position,20,4,3.5,3.5,11
position,22,4,3.5,4,10
position,24,4,1.5,3,6
position,26,4,1.5,4,6
position,28,4,3,5.5,8
position,30,4,2,4.5,6
position,40,4,11,14,16
position,50,4,4,6.5,8
position,60,4,0.5,3.5,4
position,70,4,2,4,6.5
position,72,4,4.5,6,9.5
position,74,3.5,0.5,3,5
position,76,3.5,2.5,3.5,8
position,78,3.5,2.5,3.5,8.5
position,80,3.5,1.5,3,6
position,82,3.5,1.5,3,7
position,84,3.5,1.5,3,7
position,86,3.5,0.5,4,5
position,88,3.5,1,3,4
